laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Memory_benchmark,Gpu,GPU_benchmark,OpSys,Weight,Price_euros,cpu_match,benchmark,single_thread,match_score
681,Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,AMD E-Series E2-9000 2.2GHz,4GB,128GB SSD,18.99,AMD Radeon 520,3.7,Windows 10,2.2kg,675,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
261,HP,15-BW094nd (A6-9220/8GB/128GB/W10),Notebook,15.6,1366x768,AMD A6-Series A6-9220 2.5GHz,8GB,128GB SSD,18.99,AMD Radeon 520,3.7,Windows 10,1.91kg,618.99,Intel Core i5-7200U @ 2.50GHz,3414,1782,95
377,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,128GB SSD,18.99,AMD Radeon 520,3.7,Windows 10,1.86kg,612.61,Intel Core i5-7200U @ 2.50GHz,3414,1782,95
379,Lenovo,IdeaPad 110-17ACL,Notebook,17.3,1600x900,AMD A8-Series 7410 2.2GHz,4GB,128GB SSD,18.99,AMD Radeon 520,3.7,Windows 10,2.1kg,489,AMD EPYC 7763,88338,2635,86
623,Dell,Vostro 3568,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,18.99,AMD Radeon 520,3.7,Windows 10,2.1kg,650,AMD EPYC 7763,88338,2635,86
1218,Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,18.99,AMD Radeon 520,3.7,Windows 10,2.1kg,499,Intel Core i3-6006U @ 2.00GHz,2275,1168,91
468,Acer,TravelMate B,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB SSD,18.99,AMD Radeon 520,3.7,Windows 10,1.91kg,478.89,AMD EPYC 7763,88338,2635,86
759,Lenovo,N23 (N3060/4GB/128GB/W10),Netbook,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,800,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
860,HP,250 G6,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.71kg,439,AMD EPYC 7763,88338,2635,86
382,Lenovo,Yoga 11e,Netbook,11.6,IPS Panel 1366x768,Intel Celeron Quad Core N3450 1.1GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.8kg,979,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
689,Asus,L502NA-GO052T (N3350/4GB/128GB/W10),Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.8kg,1299,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
1006,Lenovo,V110-15IAP (N3350/4GB/128GB/No,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,1.4kg,955,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
450,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Full HD 1920x1080,Intel Pentium Quad Core N4200 1.1GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,870,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
788,Asus,Vivobook Max,Notebook,15.6,1920x1080,Intel Pentium Dual Core N4200 1.1GHz,8GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,1.91kg,719,Intel Core i7-7500U @ 2.70GHz,3651,1950,95
813,Dell,Latitude 3180,Netbook,11.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.8kg,1396,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
834,Toshiba,Satellite Pro,Notebook,14,1366x768,Intel Pentium Dual Core 4405U 2.1GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Linux,2.02kg,1049,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.8kg,1085,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,1.4kg,931.88,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
180,Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,985,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
205,Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.8kg,1142,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
245,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8GB,128GB SSD,18.99,AMD Radeon 530,4.5,Linux,2.8kg,1099,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
387,Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.33kg,844,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
423,Dell,Latitude 3380,Notebook,13.3,1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,899,AMD EPYC 7763,88338,2635,86
482,Dell,Latitude E5470,Notebook,14,1366x768,Intel Core i3 6100U 2.3GHz,8GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,1.9kg,663,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
491,Lenovo,ThinkPad E570,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.02kg,970.9,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
530,HP,ProBook 440,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.8kg,1085,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
548,Dell,Vostro 5468,Notebook,14,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.02kg,1142.4,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
557,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,749,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
673,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i3 6100U 2.1GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.36kg,979,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
677,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.02kg,759,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
774,Acer,TravelMate P238-M,Notebook,13.3,1366x768,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,1219.24,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
781,Toshiba,Tecra A40-C-1E5,Notebook,14,IPS Panel 1366x768,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Linux,2.8kg,889,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
948,Toshiba,Tecra Z40-C-12X,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,797.41,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
995,Toshiba,Portege Z30-C-1CV,Notebook,13.3,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,1.91kg,568.9,AMD EPYC 7763,88338,2635,86
1018,Toshiba,Portege Z30-C-16H,Notebook,13.3,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,1.95kg,649,AMD EPYC 7763,88338,2635,86
1109,HP,Elitebook 820,Netbook,12.5,1366x768,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,949,AMD EPYC 7763,88338,2635,86
1116,Dell,Latitude E5270,Ultrabook,12.5,1366x768,Intel Core i3 6100U 2.3GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,776,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
1127,Lenovo,V110-15ISK (i3-6006U/4GB/128GB/W10),Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,919,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
1278,Lenovo,Yoga 500-14IBD,2 in 1 Convertible,14,Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,1135,Intel Core i7-8550U @ 1.80GHz,5940,2067,95
1288,Lenovo,Yoga 500-14ISK,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.1kg,745,Intel Core i7-7500U @ 2.70GHz,3651,1950,95
1302,Lenovo,Yoga 500-14ISK,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.1kg,689,Intel Core i7-7500U @ 2.70GHz,3651,1950,95
1316,Lenovo,Yoga 500-14ISK,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,399,AMD EPYC 7763,88338,2635,86
464,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core M m3-7Y30 2.2GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.71kg,655.01,AMD EPYC 7763,88338,2635,86
479,Google,Pixelbook (Core,Ultrabook,12.3,Touchscreen 2400x1600,Intel Core i5 7Y57 1.2GHz,8GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,719,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
599,Dell,Inspiron 3179,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Core M 7Y30 1.0GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,549,AMD EPYC 7763,88338,2635,86
72,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,1.4kg,818.35,Intel Core i5-8250U @ 1.60GHz,5942,1934,95
155,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.1kg,529,AMD EPYC 7763,88338,2635,86
187,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,597.57,AMD EPYC 7763,88338,2635,86
305,Asus,VivoBook S14,Notebook,14,1366x768,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,18.99,AMD Radeon 540,4.5,Windows 10,1.71kg,1799,Intel Core i7-7500U @ 2.70GHz,3651,1950,95
392,Lenovo,Ideapad 510S-13IKB,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,18.99,AMD Radeon Pro 455,,macOS,1.83kg,2537.45,Intel Xeon Platinum 8380 @ 2.30GHz,62317,2385,86
439,Lenovo,IdeaPad 320s-14IKB,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,128GB SSD,18.99,AMD Radeon Pro 555,,macOS,1.83kg,2439.97,Intel Xeon Platinum 8380 @ 2.30GHz,62317,2385,86
457,HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,18.99,AMD Radeon Pro 560,,macOS,1.83kg,2858,Intel Xeon Platinum 8380 @ 2.30GHz,62317,2385,86
517,Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,18.99,AMD Radeon R2,1.5,No OS,1.86kg,258,AMD EPYC 7763,88338,2635,86
552,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,18.99,AMD Radeon R2,1.5,Windows 10,1.65kg,199,AMD EPYC 7763,88338,2635,86
568,Lenovo,V330-15IKB (i3-7130U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,128GB SSD,18.99,AMD Radeon R2,1.5,Windows 10,2.1kg,349,AMD EPYC 7763,88338,2635,86
589,HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,18.99,AMD Radeon R2,1.5,Windows 10 S,1.65kg,277.99,AMD EPYC 7763,88338,2635,86
634,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,18.99,AMD Radeon R2,1.5,Windows 10,2.1kg,330,AMD EPYC 7763,88338,2635,86
786,Acer,Swift 3,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,18.99,AMD Radeon R2 Graphics,1.5,Windows 10,2kg,349,AMD EPYC 7763,88338,2635,86
806,Dell,Latitude 3580,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,18.99,AMD Radeon R2 Graphics,1.5,Windows 10,2.2kg,349,AMD EPYC 7763,88338,2635,86
830,Toshiba,Tecra X40-D-10Z,Ultrabook,14,1366x768,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,18.99,AMD Radeon R2 Graphics,1.5,Windows 10,1.86kg,297,AMD EPYC 7763,88338,2635,86
838,Acer,Swift 3,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,128GB SSD,18.99,AMD Radeon R2 Graphics,1.5,Windows 10,2.2kg,299,AMD EPYC 7763,88338,2635,86
853,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,18.99,AMD Radeon R3,2,Windows 10,2.8kg,379,AMD EPYC 7763,88338,2635,86
866,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,18.99,AMD Radeon R4,2.2,Windows 10,2.8kg,519,AMD EPYC 7763,88338,2635,86
873,Toshiba,Portege X30-D-10X,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,18.99,AMD Radeon R4,2.2,Windows 10,2.19kg,298,AMD EPYC 7763,88338,2635,86
873,Toshiba,Portege X30-D-10X,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,18.99,AMD Radeon R4,2.2,Windows 10,2.1kg,398,AMD EPYC 7763,88338,2635,86
901,HP,Probook 640,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,18.99,AMD Radeon R4 Graphics,2.2,Windows 10,1.86kg,398.49,AMD EPYC 7763,88338,2635,86
928,Lenovo,ThinkPad 13,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,18.99,AMD Radeon R4 Graphics,2.2,Windows 10,1.86kg,369,AMD EPYC 7763,88338,2635,86
1016,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,18.99,AMD Radeon R4 Graphics,2.2,No OS,2.2kg,309,AMD EPYC 7763,88338,2635,86
1003,Dell,Latitude 5480,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,18.99,AMD Radeon R4 Graphics,2.2,Windows 10,1.91kg,445.9,AMD EPYC 7763,88338,2635,86
1,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,128GB SSD,18.99,AMD Radeon R4 Graphics,2.2,Windows 10,1.86kg,399,AMD EPYC 7763,88338,2635,86
20,Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,18.99,AMD Radeon R5,2.3,Windows 10,2.1kg,400,AMD EPYC 7763,88338,2635,86
489,HP,ProBook 430,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,128GB SSD,18.99,AMD Radeon R5,2.3,Windows 10,2.1kg,395,AMD EPYC 7763,88338,2635,86
572,Dell,XPS 13,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,18.99,AMD Radeon R5,2.3,Windows 10,2.1kg,451,AMD EPYC 7763,88338,2635,86
1270,Lenovo,IdeaPad 310-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6100U 2.3GHz,6GB,128GB SSD,18.99,AMD Radeon R5,2.3,Windows 10,2.23kg,469,AMD EPYC 7763,88338,2635,86
682,HP,Pavilion X360,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,18.99,AMD Radeon R5,2.3,Windows 10,2.1kg,426,AMD EPYC 7763,88338,2635,86
182,Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,58.98,AMD Radeon R5,2.3,Windows 10,2.6kg,489,AMD EPYC 7763,88338,2635,86
740,HP,15-BW091ND (A9-9420/6GB/1TB,Notebook,15.6,Full HD 1920x1080,AMD A9-Series A9-9420 3GHz,6GB,128GB SSD +  1TB HDD,58.98,AMD Radeon R5,2.3,Windows 10,1.91kg,488.99,AMD EPYC 7763,88338,2635,86
1005,HP,15-bs005nv (i3-6006U/4GB/1TB,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD +  1TB HDD,58.98,AMD Radeon R5,2.3,Windows 10,2.6kg,520.9,AMD EPYC 7763,88338,2635,86
38,Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,58.98,AMD Radeon R5,2.3,Windows 10,2.1kg,409,AMD EPYC 7763,88338,2635,86
193,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,58.98,AMD Radeon R5,2.3,Windows 10,2.4kg,449,AMD EPYC 7763,88338,2635,86
265,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,58.98,AMD Radeon R5,2.3,Windows 10,2.4kg,387,AMD EPYC 7763,88338,2635,86
281,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,58.98,AMD Radeon R5 430,3.1,Windows 10,2.4kg,499,AMD EPYC 7763,88338,2635,86
320,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,58.98,AMD Radeon R5 520,3.7,Windows 10,2.5kg,699,Intel Core i3-6006U @ 2.00GHz,2275,1168,91
372,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,58.98,AMD Radeon R5 M315,,Windows 7,2.24kg,769.15,Intel Core i5-6200U @ 2.30GHz,3027,1588,95
461,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,58.98,AMD Radeon R5 M330,2.8,Windows 10,3.0kg,659,Intel Core i5-6200U @ 2.30GHz,3027,1588,95
531,Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,58.98,AMD Radeon R5 M330,2.8,No OS,2.32kg,599,Intel Core i5-6200U @ 2.30GHz,3027,1588,95
734,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,58.98,AMD Radeon R5 M330,2.8,Windows 10,2.5kg,788.49,Intel Core i5-6200U @ 2.30GHz,3027,1588,95
242,Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,15.6,Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,4GB,128GB SSD +  1TB HDD,58.98,AMD Radeon R5 M330,2.8,Windows 7,2.32kg,895,Intel Core i7-6500U @ 2.50GHz,3276,1708,95
679,Lenovo,V310-15ISK (i5-7200U/8GB/1TB,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,58.98,AMD Radeon R5 M330,2.8,Windows 10,2.19kg,764,Intel Core i7-6500U @ 2.50GHz,3276,1708,95
